id,age,job_cl,marital_cl,education_cl,default_cl,housing_cl,loan_cl,contact_cl,month_cl,day_of_week_cl,duration,campaign,pdays,previous,poutcome_cl,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y_cl
0,34579,35,0,1,0,0,0,0,0,2,3,143,1,999,1,1,-1.8,92.893,-46.2,1.266,5099.1,0
1,446,42,2,0,3,0,1,0,1,2,1,1623,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
2,20173,36,0,0,0,0,1,0,0,5,0,610,2,999,0,0,1.4,93.444,-36.1,4.965,5228.1,1
3,18171,37,0,0,1,0,0,1,1,4,2,1089,2,999,0,0,1.4,93.918,-42.7,4.963,5228.1,1
4,30128,31,4,1,0,0,0,0,0,1,3,211,1,999,0,0,-1.8,93.075,-47.1,1.365,5099.1,0
5,36765,25,0,1,5,0,1,0,1,3,1,221,7,999,0,0,-2.9,92.963,-40.8,1.286,5076.2,1
6,6835,42,1,0,2,0,1,0,1,2,2,92,5,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
7,31944,36,1,1,2,0,1,1,0,2,3,1516,2,999,0,0,-1.8,92.893,-46.2,1.327,5099.1,1
8,41174,62,5,0,0,0,0,0,0,8,3,208,1,1,6,2,-1.1,94.767,-50.8,1.031,4963.6,1
9,38071,70,5,0,4,0,1,0,0,6,1,150,1,3,2,2,-3.4,92.379,-29.8,0.77,5017.5,1
10,12368,33,3,0,1,0,0,0,0,4,4,548,2,999,0,0,1.4,93.918,-42.7,4.959,5228.1,0
11,5863,24,0,0,2,0,0,0,1,2,0,764,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
12,30599,53,2,0,3,0,1,0,0,2,0,206,3,999,0,0,-1.8,92.893,-46.2,1.354,5099.1,1
13,38691,27,6,1,0,0,1,1,0,8,0,118,1,999,0,0,-3.4,92.649,-30.1,0.715,5017.5,1
14,23661,30,0,1,0,0,0,1,1,5,3,50,9,999,0,0,1.4,93.444,-36.1,4.962,5228.1,0
15,36463,33,0,1,0,0,1,0,0,3,1,541,3,999,0,0,-2.9,92.963,-40.8,1.262,5076.2,1
16,27593,56,5,0,4,0,1,0,0,8,4,163,2,999,1,1,-0.1,93.2,-42.0,4.021,5195.8,0
17,36923,36,3,0,0,0,1,1,0,3,1,255,2,3,1,2,-2.9,92.963,-40.8,1.206,5076.2,1
18,41000,54,3,2,1,0,0,0,0,7,2,487,3,999,2,1,-1.1,94.601,-49.5,1.016,4963.6,1
19,12387,40,0,0,1,0,0,1,0,4,0,615,2,999,0,0,1.4,93.918,-42.7,4.96,5228.1,1
20,34670,27,0,1,0,0,0,0,0,2,3,1543,4,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,1
21,36019,61,11,1,4,0,0,1,0,2,1,131,3,999,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
